AccessionName	Accession_ID	Surroundingcoverage	Windowcoverage	TDcopy
F1-201	3968	12.8602132622	21.2434456929	1.6518735156
F1-201	3968	12.8602132622	20.3133583021	1.57955065658
F1-201	3968	12.8602132622	24.0861423221	1.87291935452
F1-201	3968	12.8602132622	23.2509363296	1.80797439789
F1-201	3968	12.8602132622	20.0461922597	1.55877603667
F1-201	3968	12.8602132622	20.5131086142	1.59508308268
F1-201	3968	12.8602132622	24.7715355805	1.92621499157
F1-201	3968	12.8602132622	28.2621722846	2.19764413765
F1-201	3968	12.8602132622	25.847690387	2.00989593718
F1-201	3968	12.8602132622	27.0511860175	2.10347880442
F1-201	3968	12.8602132622	25.6354556804	1.99339273445
F1-201	3968	12.8602132622	21.7328339576	1.68992795954
F1-201	3968	12.8602132622	21.8514357054	1.69915033754
F1-201	3968	12.8602132622	27.1697877653	2.11270118242
F1-201	3968	12.8602132622	29.9450686642	2.32850482753
F1-201	3968	12.8602132622	27.1510611735	2.11124501747
F1-201	3968	12.8602132622	27.9900124844	2.17648120709
F1-201	3968	12.8602132622	28.0324594257	2.17978184763
F1-201	3968	12.8602132622	27.5106117353	2.13920338445
F1-201	3968	12.8602132622	26.5118601748	2.06154125396
F1-201	3968	12.8602132622	23.4119850187	1.82049741644
F1-201	3968	12.8602132622	20.9575530587	1.62964273075
F1-201	3968	12.8602132622	22.5667915106	1.75477583851
F1-201	3968	12.8602132622	24.7303370787	1.92301142869
F1-201	3968	12.8602132622	21.9600499376	1.70759609423
F1-201	3968	12.8602132622	23.631710362	1.83758308514
F1-201	3968	12.8602132622	27.4806491885	2.13687352053
F1-201	3968	12.8602132622	25.8489388265	2.00999301484
F1-201	3968	12.8602132622	21.9812734082	1.7092464145
F1-201	3968	12.8602132622	25.45443196	1.97931647329
F1-201	3968	12.8602132622	32.5593008739	2.53178545409
F1-201	3968	12.8602132622	32.0037453184	2.48858589401
F1-201	3968	12.8602132622	29.9400749064	2.32811651687
F1-201	3968	12.8602132622	26.3533083645	2.04921239074
F1-201	3968	12.8602132622	22.543071161	1.75293136291
F1-201	3968	12.8602132622	22.8414481898	1.77613292439
F1-201	3968	12.8602132622	23.329588015	1.81409029067
F1-201	3968	12.8602132622	22.2384519351	1.72924441311
F1-201	3968	12.8602132622	20.3345817728	1.58120097685
F1-201	3968	12.8602132622	22.6342072409	1.76001803231
F1-201	3968	12.8602132622	27.5268414482	2.14046539407
F1-201	3968	12.8602132622	28.1947565543	2.19240194384
F1-201	3968	12.8602132622	32.5293383271	2.52945559018
F1-201	3968	12.8602132622	32.1435705368	2.49945859228
F1-201	3968	12.8602132622	29.0574282147	2.25948260905
F1-201	3968	12.8602132622	30.3033707865	2.35636611684
F1-201	3968	12.8602132622	24.4868913858	1.90408128438
F1-201	3968	12.8602132622	21.7852684145	1.69400522139
F1-201	3968	12.8602132622	25.138576779	1.95475582453
F1-201	3968	12.8602132622	24.9213483146	1.93786431114
F1-201	3968	12.8602132622	24.1560549313	1.87835570365
F1-201	3968	12.8602132622	26.3995006242	2.05280426427
F1-201	3968	12.8602132622	26.7265917603	2.07823861201
F1-201	3968	12.8602132622	25.4644194757	1.9800930946
F1-201	3968	12.8602132622	22.1248439451	1.72041034576
F1-201	3968	12.8602132622	24.8664169788	1.93359289397
F1-201	3968	12.8602132622	31.0149812734	2.41170038482
F1-201	3968	12.8602132622	34.4157303371	2.67613993915
F1-201	3968	12.8602132622	27.2309612984	2.11745798791
F1-201	3968	12.8602132622	22.9950062422	1.78807347695
F1-201	3968	12.8602132622	30.0524344569	2.33685350656
F1-201	3968	12.8602132622	30.8963795256	2.40247800682
F1-201	3968	12.8602132622	26.2871410737	2.04406727459
F1-201	3968	12.8602132622	24.2134831461	1.88282127616
